scenario,method,avg_acc,BWT
CIL,replay_proj,0.9000113606452942,-0.0840902030467987
CIL,replay_ewc,0.8958290219306946,-0.08835265040397644
CIL,replay,0.8932210206985474,-0.09350952506065369
DIL,replay,0.9584599733352661,0.01087498664855957
DIL,replay_ewc,0.9541000127792358,0.0038250088691711426
DIL,replay_proj,0.9534799456596375,0.005874991416931152
TIL,kd,0.9841599464416504,-0.004241630434989929
TIL,ewc,0.9840908050537109,-0.003582581877708435
TIL,baseline,0.9835866093635559,-0.0054480284452438354
